fr,en
section nonlus,section-unread
section lus,section-read
corps dormant,dormant-body
pli,fold
eventail,fan
voir tableau,see-board
pas spam,not-spam
vers,to
regle ecarte,rule-screened-out
ligne case,row-checkbox
ligne a,row-to
ligne cc,row-cc
nav separateur,nav-separator
tiroir scrim,drawer-scrim
vider recherche,clear-search
voir conversation,see-conversation
volet lecture,reading-pane
garde images,images-guard
garde texte,guard-text
cadre entete,header-frame
espace entete,header-space
tete message,message-head
objet fil,thread-subject
adr exp,sender-addr
repere nu,bare-marker
temoin lu,read-witness
point alerte,alert-dot
nonlu,unread
sous titre1,subtitle1
sous titre2,subtitle2
sous titre3,subtitle3
titre1,title1
titre2,title2
titre3,title3
